"ArtikelNr","Fb","Größe","GTIN/EAN","quantity"
"134120209","000","44","4064813723293","0"
"134120209","000","43","4064813723286","0"
"134120209","000","42","4064813723279","0"
"134120209","000","41","4064813723262","0"
"134120209","000","40","4064813723255","0"
"134120209","000","39","4064813723248","0"
"134120209","000","38","4064813723231","0"
"134120109","103","46","4064813723224","0"
"134120109","103","45","4064813723217","0"
"134120109","103","44","4064813723200","0"
"134120109","103","43","4064813723194","0"
"134120109","103","42","4064813723187","0"
"134120109","103","41","4064813723170","0"
"134120109","103","40","4064813723163","0"
"134120009","102","46","4064813723156","0"
"134120009","102","45","4064813723149","0"
"134120009","102","44","4064813723132","0"
"134120009","102","43","4064813723125","0"
"134120009","102","42","4064813723118","0"
"134120009","102","41","4064813723101","0"
"134120009","102","40","4064813723095","0"
"134119809","000","46","4064813723088","0"
"134119809","000","45","4064813723071","0"
"134119809","000","44","4064813723064","0"
"134119809","000","43","4064813723057","0"
"134119809","000","42","4064813723040","0"
"134119809","000","41","4064813723033","0"
"134119809","000","40","4064813723026","0"
"134119809","000","39","4064813723019","0"
"134119809","000","38","4064813723002","0"
"134119709","000","46","4064813722999","0"
"134119709","000","45","4064813722982","0"
"134119709","000","44","4064813722975","0"
"134119709","000","43","4064813722968","0"
"134119709","000","42","4064813722951","0"
"134119709","000","41","4064813722944","0"
"134119709","000","40","4064813722937","0"
"134119709","000","39","4064813722920","0"
"134119709","000","38","4064813722913","0"
"134119609","000","46","4064813722906","0"
"134119609","000","45","4064813722890","0"
"134119609","000","44","4064813722883","0"
"134119609","000","43","4064813722876","0"
"134119609","000","42","4064813722869","0"
"134119609","000","41","4064813722852","0"
"134119609","000","40","4064813722845","0"
"134119609","000","39","4064813722838","0"
"134119609","000","38","4064813722821","0"
"134119209","100","46","4064813722814","0"
"134119209","100","45","4064813722807","0"
"134119209","100","44","4064813722791","0"
"134119209","100","43","4064813722784","0"
"134119209","100","42","4064813722777","0"
"134119209","100","41","4064813722760","0"
"134119209","100","40","4064813722753","0"
"134119209","100","39","4064813722746","0"
"134119209","100","38","4064813722739","0"
"934160800","500","4XL","4064813721626","0"
"934160800","500","3XL","4064813721619","1"
"934160800","500","XXL","4064813721602","0"
"934160800","500","XL","4064813721596","0"
"934160900","100","4XL","4064813721589","0"
"934160900","100","3XL","4064813721572","0"
"934160900","100","XXL","4064813721565","0"
"934160900","100","XL","4064813721558","0"
"934119100","106","XXL","4064813703141","0"
"934119100","106","XL","4064813703134","0"
"934119100","106","L","4064813703127","0"
"934119100","106","M","4064813703110","0"
"934119100","106","S","4064813703103","0"
"934119100","105","XXL","4064813703097","0"
"934119100","105","XL","4064813703080","0"
"934119100","105","L","4064813703073","0"
"934119100","105","M","4064813703066","1"
"934119100","105","S","4064813703059","0"
"934119100","000","XXL","4064813703042","0"
"934119100","000","XL","4064813703035","0"
"934119100","000","L","4064813703028","0"
"934119100","000","M","4064813703011","0"
"934119100","000","S","4064813703004","0"
"934119000","400","XXL","4064813702991","0"
"934119000","400","XL","4064813702984","0"
"934119000","400","L","4064813702977","1"
"934119000","400","M","4064813702960","0"
"934119000","400","S","4064813702953","0"
"934119000","100","XXL","4064813702946","0"
"934119000","100","XL","4064813702939","0"
"934119000","100","L","4064813702922","0"
"934119000","100","M","4064813702915","0"
"934119000","100","S","4064813702908","0"
"934118900","100","XXL","4064813702892","0"
"934118900","100","XL","4064813702885","0"
"934118900","100","L","4064813702878","1"
"934118900","100","M","4064813702861","0"
"934118900","100","S","4064813702854","0"
"934118800","100","XXL","4064813702847","0"
"934118800","100","XL","4064813702830","0"
"934118800","100","L","4064813702823","0"
"934118800","100","M","4064813702816","0"
"934118800","100","S","4064813702809","0"
"934118300","450","6XL","4064813702649","8"
"934118300","450","5XL","4064813702632","11"
"934118300","450","4XL","4064813702625","24"
"934118300","450","3XL","4064813702618","38"
"934118300","450","XXL","4064813702601","67"
"934118300","450","XL","4064813702595","129"
"934118300","450","L","4064813702588","113"
"934118300","450","M","4064813702571","41"
"934118300","450","S","4064813702564","1"
"934108300","103","7XL","4064813701659","7"
"934108300","103","6XL","4064813701642","11"
"934108300","103","5XL","4064813701635","10"
"934108300","103","4XL","4064813701628","21"
"934108300","103","3XL","4064813701611","3"
"934108300","103","XXL","4064813701604","53"
"934108300","103","XL","4064813701598","109"
"934108300","103","L","4064813701581","90"
"934108300","103","M","4064813701574","20"
"934107700","601","4XL","4064813701543","0"
"934107700","601","3XL","4064813701536","2"
"934107700","601","XXL","4064813701529","1"
"934107700","601","XL","4064813701512","0"
"934107700","000","5XL","4064813701505","0"
"934107700","000","4XL","4064813701499","0"
"934107700","000","3XL","4064813701482","0"
"934107700","000","XXL","4064813701475","0"
"934107700","000","XL","4064813701468","0"
"934091700","200","8XL","4064813701451","2"
"934090900","500","8XL","4064813701444","1"
"934090600","100","8XL","4064813701437","0"
"934090400","100","8XL","4064813701420","0"
"834107600","100","52","4064813701406","1"
"834107600","100","50","4064813701383","0"
"834107600","100","48","4064813701369","0"
"834107600","100","46","4064813701345","0"
"834107600","100","44","4064813701321","1"
"834107500","100","52","4064813701314","1"
"834107500","100","50","4064813701291","1"
"834107500","100","48","4064813701277","0"
"834107500","100","46","4064813701253","0"
"834107500","100","44","4064813701239","1"
"834107400","104","50","4064813701208","1"
"834107400","104","48","4064813701185","0"
"834107400","104","46","4064813701161","0"
"834107400","104","44","4064813701147","0"
"834107400","100","52","4064813701130","0"
"834107400","100","50","4064813701116","0"
"834107400","100","48","4064813701093","0"
"834107400","100","46","4064813701079","0"
"834107400","100","44","4064813701055","1"
"834107300","200","50","4064813701048","1"
"834107300","200","48","4064813701024","0"
"834107300","200","46","4064813701000","0"
"834107300","200","44","4064813700980","1"
"834107300","100","50","4064813700973","3"
"834107300","100","48","4064813700959","0"
"834107300","100","46","4064813700935","0"
"834107300","100","44","4064813700911","1"
"834107200","705","52","4064813700904","0"
"834107200","705","50","4064813700881","0"
"834107200","705","48","4064813700867","0"
"834107200","705","46","4064813700843","0"
"834107200","705","44","4064813700829","2"
"834107200","000","50","4064813700799","0"
"834107200","000","48","4064813700775","0"
"834107200","000","46","4064813700751","0"
"834107200","000","44","4064813700737","0"
"834107100","100","50","4064813700720","0"
"834107100","100","48","4064813700706","0"
"834107100","100","46","4064813700683","0"
"834107100","100","44","4064813700669","1"
"834107000","100","52","4064813700652","0"
"834107000","100","50","4064813700638","0"
"834107000","100","48","4064813700614","0"
"834107000","100","46","4064813700591","0"
"834107000","100","44","4064813700577","0"
"834106900","100","50","4064813700560","1"
"834106900","100","48","4064813700546","1"
"834106900","100","46","4064813700522","0"
"834106900","100","44","4064813700508","0"
"834106800","108","52","4064813700492","0"
"834106800","108","50","4064813700478","10"
"834106800","108","48","4064813700454","50"
"834106800","108","46","4064813700430","34"
"834106800","108","44","4064813700416","15"
"834106800","000","50","4064813700386","2"
"834106800","000","48","4064813700362","43"
"834106800","000","46","4064813700348","72"
"834106800","000","44","4064813700324","21"
"634120700","100","46","4064813700300","0"
"634120700","100","45","4064813700294","0"
"634120700","100","44","4064813700287","0"
"634120700","100","43","4064813700270","0"
"634120700","100","42","4064813700263","0"
"634120700","100","41","4064813700256","0"
"634120700","100","40","4064813700249","0"
"634120700","100","39","4064813700232","0"
"634120600","000","46","4064813700102","0"
"634120600","000","45","4064813700096","0"
"634120600","000","44","4064813700089","0"
"634120600","000","43","4064813700072","0"
"634120600","000","42","4064813700065","0"
"634120600","000","41","4064813700058","0"
"634120600","000","40","4064813700041","0"
"634120600","000","39","4064813700034","0"
"634120500","100","47","4064813700027","1"
"634120500","100","46","4064813700010","0"
"634120500","100","45","4064813700003","0"
"634120500","100","44","4064813699994","2"
"634120500","100","43","4064813699987","2"
"634120500","100","42","4064813699970","2"
"634120500","100","41","4064813699963","2"
"634120500","100","40","4064813699956","2"
"634120500","100","39","4064813699949","0"
"434118600","000","XL","4064813699932","0"
"434118600","000","L","4064813699925","0"
"434118600","000","M","4064813699918","0"
"434118600","000","S","4064813699901","0"
"434118500","406","XL","4064813699888","0"
"434118500","406","L","4064813699871","0"
"434118500","406","M","4064813699864","0"
"434118500","406","S","4064813699857","0"
"434118500","305","XL","4064813699833","0"
"434118500","305","L","4064813699826","0"
"434118500","305","M","4064813699819","0"
"434118500","305","S","4064813699802","0"
"434118500","304","XL","4064813699789","0"
"434118500","304","L","4064813699772","0"
