timestamp,sku,stage,elapsed_seconds,details
2026-09-11 00:14:55.758,PPXH10005D,REGISTER_PRODUCT fill_form ERROR,15.968,TimeoutException: Message:  Stacktrace: 	chromedriver!GetHandleVerifier [0x7ff63a98abb5+151b5] 	chromedriver!GetHandleVerifier [0x7ff63a98ac10+15210] 	chromedriver!(No symbol) [0x7ff63a4b5d6d] 	chromedriver!(No symbol) [0x7ff63a511289] 	chromedriver!(No symbol) [0x7ff63a51158c] 	chromedriver!(No symbol) [0x7ff63a562027] 	chromedriver!(No symbol) [0x7ff63a55ec0b] 	chromedriver!(No symbol) [0x7ff63a5037cc] 	chromedriver!(No symbol) [0x7ff63a5046f3] 	chromedriver!GetHandleVerifier [0x7ff63afab79b+635d9b] 	chromedriver!GetHandleVerifier [0x7ff63afa5ac6+6300c6] 	chromedriver!GetHandleVerifier [0x7ff63afcbcee+6562ee] 	chromedriver!GetHandleVerifier [0x7ff63a9a8ffe+335fe] 	chromedriver!GetHandleVerifier [0x7ff63a9b147c+3ba7c] 	chromedriver!GetHandleVerifier [0x7ff63a994d64+1f364] 	chromedriver!GetHandleVerifier [0x7ff63a994ef4+1f4f4] 	chromedriver!GetHandleVerifier [0x7ff63a977d97+2397] 	KERNEL32!BaseThreadInitThunk [0x7ff9dc1a84d4+14] 	ntdll!RtlUserThreadStart [0x7ff9de781d21+21] 
2026-09-11 00:14:57.872,PPXU10012B,REGISTER_PRODUCT START,,
2026-09-11 00:14:57.872,PPXU10012B,REGISTER_PRODUCT fill_form START,,
2026-09-11 00:15:13.746,PPXU10012B,REGISTER_PRODUCT fill_form ERROR,15.871,TimeoutException: Message:  Stacktrace: 	chromedriver!GetHandleVerifier [0x7ff63a98abb5+151b5] 	chromedriver!GetHandleVerifier [0x7ff63a98ac10+15210] 	chromedriver!(No symbol) [0x7ff63a4b5d6d] 	chromedriver!(No symbol) [0x7ff63a511289] 	chromedriver!(No symbol) [0x7ff63a51158c] 	chromedriver!(No symbol) [0x7ff63a562027] 	chromedriver!(No symbol) [0x7ff63a55ec0b] 	chromedriver!(No symbol) [0x7ff63a5037cc] 	chromedriver!(No symbol) [0x7ff63a5046f3] 	chromedriver!GetHandleVerifier [0x7ff63afab79b+635d9b] 	chromedriver!GetHandleVerifier [0x7ff63afa5ac6+6300c6] 	chromedriver!GetHandleVerifier [0x7ff63afcbcee+6562ee] 	chromedriver!GetHandleVerifier [0x7ff63a9a8ffe+335fe] 	chromedriver!GetHandleVerifier [0x7ff63a9b147c+3ba7c] 	chromedriver!GetHandleVerifier [0x7ff63a994d64+1f364] 	chromedriver!GetHandleVerifier [0x7ff63a994ef4+1f4f4] 	chromedriver!GetHandleVerifier [0x7ff63a977d97+2397] 	KERNEL32!BaseThreadInitThunk [0x7ff9dc1a84d4+14] 	ntdll!RtlUserThreadStart [0x7ff9de781d21+21] 
2026-09-11 00:15:17.354,PPXP10002A,REGISTER_PRODUCT START,,
2026-09-11 00:15:17.355,PPXP10002A,REGISTER_PRODUCT fill_form START,,
2026-09-11 00:15:33.703,PPXP10002A,REGISTER_PRODUCT fill_form ERROR,16.348,TimeoutException: Message:  Stacktrace: 	chromedriver!GetHandleVerifier [0x7ff63a98abb5+151b5] 	chromedriver!GetHandleVerifier [0x7ff63a98ac10+15210] 	chromedriver!(No symbol) [0x7ff63a4b5d6d] 	chromedriver!(No symbol) [0x7ff63a511289] 	chromedriver!(No symbol) [0x7ff63a51158c] 	chromedriver!(No symbol) [0x7ff63a562027] 	chromedriver!(No symbol) [0x7ff63a55ec0b] 	chromedriver!(No symbol) [0x7ff63a5037cc] 	chromedriver!(No symbol) [0x7ff63a5046f3] 	chromedriver!GetHandleVerifier [0x7ff63afab79b+635d9b] 	chromedriver!GetHandleVerifier [0x7ff63afa5ac6+6300c6] 	chromedriver!GetHandleVerifier [0x7ff63afcbcee+6562ee] 	chromedriver!GetHandleVerifier [0x7ff63a9a8ffe+335fe] 	chromedriver!GetHandleVerifier [0x7ff63a9b147c+3ba7c] 	chromedriver!GetHandleVerifier [0x7ff63a994d64+1f364] 	chromedriver!GetHandleVerifier [0x7ff63a994ef4+1f4f4] 	chromedriver!GetHandleVerifier [0x7ff63a977d97+2397] 	KERNEL32!BaseThreadInitThunk [0x7ff9dc1a84d4+14] 	ntdll!RtlUserThreadStart [0x7ff9de781d21+21] 
2026-09-11 00:15:36.182,PP2Q00001B,REGISTER_PRODUCT START,,
2026-09-11 00:15:36.183,PP2Q00001B,REGISTER_PRODUCT fill_form START,,
2026-09-11 00:15:54.283,PP2Q00001B,REGISTER_PRODUCT fill_form ERROR,18.100,TimeoutException: Message:  Stacktrace: 	chromedriver!GetHandleVerifier [0x7ff63a98abb5+151b5] 	chromedriver!GetHandleVerifier [0x7ff63a98ac10+15210] 	chromedriver!(No symbol) [0x7ff63a4b5d6d] 	chromedriver!(No symbol) [0x7ff63a511289] 	chromedriver!(No symbol) [0x7ff63a51158c] 	chromedriver!(No symbol) [0x7ff63a562027] 	chromedriver!(No symbol) [0x7ff63a55ec0b] 	chromedriver!(No symbol) [0x7ff63a5037cc] 	chromedriver!(No symbol) [0x7ff63a5046f3] 	chromedriver!GetHandleVerifier [0x7ff63afab79b+635d9b] 	chromedriver!GetHandleVerifier [0x7ff63afa5ac6+6300c6] 	chromedriver!GetHandleVerifier [0x7ff63afcbcee+6562ee] 	chromedriver!GetHandleVerifier [0x7ff63a9a8ffe+335fe] 	chromedriver!GetHandleVerifier [0x7ff63a9b147c+3ba7c] 	chromedriver!GetHandleVerifier [0x7ff63a994d64+1f364] 	chromedriver!GetHandleVerifier [0x7ff63a994ef4+1f4f4] 	chromedriver!GetHandleVerifier [0x7ff63a977d97+2397] 	KERNEL32!BaseThreadInitThunk [0x7ff9dc1a84d4+14] 	ntdll!RtlUserThreadStart [0x7ff9de781d21+21] 
